question,gold,GPT-3 generated,with_mem_learned_ir generated
what is a sentence that can be used to define < phrase > ?,the definition of phrase is a mode or form of speech,a sentence with phrase is: [ phrase ] is a short [ phrase ],a sentence with phrase is: [ phrase ] is the most common meaning of the word
< ship > can be used how ?,a sentence with ship is: cooperation a helicopter on the deck of ship while a helicopter comes,a sentence with ship is: a cruise ship is a ship with lots of cabins.,a sentence with ship is: the [ ship ] arrives in the harbor
what is a sentence that can be used to define < wassail > ?,the definition of wassail is an ancient expression of good wishes on a festive occasion,a sentence with wassail is: < wassail > wassails the christmas season,the definition of wassail is to drink to the health of.
expand on < dockyard > ?,the definition of dockyard is a yard or storage place for all sorts of naval stores and timber for shipbuilding.,an expansion on dockyard is a place where ships can be built and repaired.,"the definition of dockyard is a place for building, repairing, or storing ships."
what can one confuse with < wreak > ?,the homonym for wreak is wreck,the homonym for wreak is wreck.,the homonym for wreak is reek
give me something that contains < apartment > in it ?,a sentence with apartment is: studio apartment in the heart of the city,something containing apartment is: a flat containing an apartment,something contains apartment in it is: room and board
What is different than < tomato > ?,the antonym for tomato is vegetable,the difference between tomato and american is that tomato is an [ american ],something different than tomato is: a red fruit.
what is a sentence that can be used to define < tweak > ?,the definition of tweak is a sharp pinch or jerk,a sentence with tweak is: a [ tweak ] is a minor change,the definition of tweak is to make small changes in or adjustments to.
what has a < flair > like ring to it ?,the homonym for flair is flare,"a sentence with flair like ring to it is: a [ flair like ring to it ] , the [ flair like ring to it ] seems to be a [ flair like ring to it ]",the word with a flair like ring to it is the word < flare >
< security > can be used how ?,a sentence with security is: soldiers exit a helicopter to provide security .,the verb for security is to ensure,a sentence with security is: [ security ] in a nation is in the strength of its leader
What is akin to < chap > ?,the synonym for chap is boy,the word akin to chap is kind,the word akin to chap is chapstick
give me something that contains < classroom > in it ?,a sentence with classroom is: group of students working at computers in a classroom,something that contains classroom in it is a school class,the sentence with classroom is: the [ classroom ] is full of students.
What is different than < vital > ?,the antonym for vital is unimportant,the difference between vital and different is vital is a way to live and different is a way to die.,the antonym for vital is dead
what can one confuse with < pier > ?,the homonym for pier is per,the homonym for pier is pyr,the homonym for pier is peer
what is a sentence that can be used to define < mutage > ?,the definition of mutage is a process for checking the fermentation of the must of grapes.,a sentence with mutage is: the [ mutage ] is an old english word for monster.,the definition of mutage is a form of metamorphosis in which a being undergoes an extreme change in form or nature.
What is unlike < edit > ?,the antonym for edit is delete,the synonym for edit is revise,the antonym for edit is write
give me something that contains < lake > in it ?,a sentence with lake is: alpine village with a lake and mountains,something that contains lake in it is: a [ lake ] of fire,the sentence with lake is: the [ lake ]
give me something that contains < wicket > in it ?,a sentence with wicket is: delight for cricket player after he claims the wicket,something with wicket in it is: a wicket gate,"a sentence with wicket is: the [ wickets ] are down, the cricket match is finished"
expand on < tomcod > ?,the definition of tomcod is a small edible american fish (microgadus tomcod) of the codfish family,the definition of tomcod is a small minnow found in cold fresh waters.,the definition of tomcod is a large fresh-water cod.
give me something that contains < shore > in it ?,a sentence with shore is: country a palm tree grows on the shore,something that contains shore is shoreline,a sentence with shore is: a ship is [ ashore ] on a beach
What is unlike < pulmonary > ?,the antonym for pulmonary is mental,the antonym for pulmonary is machiavellian,the antonym for pulmonary is extroverted
< sorcering > means what ?,the definition of sorcering is act or practice of using sorcery.,the word sorcering means the act of preparing a potion.,the definition of sorcering is the art of influencing people by supernatural means.
what is a sentence that can be used to define < polyhymnia > ?,the definition of polyhymnia is the muse of lyric poetry.,the definition of polyhymnia is a muse of lyric poetry.,the definition of polyhymnia is a kind of lyre with two arms or two rows of strings.
give me something that contains < wind > in it ?,a sentence with wind is: the wind whips an umbrella inside out during a winter storm,something that contains wind in it is: a [ wind ] park,a sentence with wind is: [ wind ] howls in the tree-tops.
what is a sentence that can be used to define < incitation > ?,the definition of incitation is that which incites to action,a sentence with incitation is: the [ incitation ] of violence across the city ends.,the definition of incitation is the act of inciting.
What is different than < immortal > ?,the antonym for immortal is mortal,different than immortal is mortal,the antonym for immortal is mortal
make something with < table > ?,a sentence with table is: the pizza on the table has many toppings.,the something made with table is a table napkin,a sentence with table is: a [ table ] contains a chair and a lamp
what is a sentence that can be used to define < escape > ?,the definition of escape is that which escapes attention or restraint,a sentence with escape is: we [ escape ] into the forest,the definition of escape is to avoid capture.
what is a sentence that can be used to define < stun > ?,the definition of stun is the condition of being stunned.,a sentence with stun is: she was [ stunned ] by the news.,the definition of stun is to strike with a heavy blow.
What is like < measurement > ?,the synonym for measurement is scale,the synonym for measurement is assessment,the synonym for measurement is gauge
What is similar to < accustom > ?,the synonym for accustom is orient,the similarity to accustom is to get used,the synonym for accustom is habitual
What is the opposite of < fight > ?,the antonym for fight is surrender,the antonym for fight is love,the antonym for fight is flight
What is unlike < metamorphosis > ?,the antonym for metamorphosis is stay,the antonym for metamorphosis is metamorphosis,the antonym for metamorphosis is transformation
What is like < excitable > ?,the synonym for excitable is wild,the homonym for excitable is exultant,the synonym for excitable is excitable
What is akin to < innovator > ?,the synonym for innovator is inventor,the akin to innovator is revolutionary,the synonym for innovator is radical
What is similar to < uplift > ?,the synonym for uplift is raise,the synonym of uplift is lift,the synonym for uplift is elevate
give me something i would hear as < whether > ?,the homonym for whether is whither,the example of something you would hear as whether is a question word used to ask about possibilities.,the homonym for whether is weather
give me something that contains < stone > in it ?,a sentence with stone is: an accent wall of rustic stone turns a fireplace and tv into a focal point .,something that contains stone is: stoned,a sentence with stone is: the [ stone ] wall was brought down
What is similar to < metamorphosis > ?,the synonym for metamorphosis is transmutation,the synonym for metamorphosis is transformation,the synonym for metamorphosis is transformation
What is different than < encore > ?,the antonym for encore is premiere,the difference between encore and different is: encore has a [ different ] ending,the antonym for encore is finale
give me something i would hear as < mined > ?,the homonym for mined is miner,"something you hear as mined is: [ abridged ], [ absent ], [ accorded ], [ accosted ], [ accruing ], [ acreage ], [ addressee ], [ adrift ], [ afield ], [ afloat ], [ afoot ], [ afterthought ], [ aftereffect ], [ ah",the homonym for mined is mended
What is like < tsetse > ?,the synonym for tsetse is fly,the homonym for tsetse is lass,the synonym for tsetse is fly
What is akin to < matter > ?,the synonym for matter is material,the synonym for matter is subject,the synonym for matter is substance
What is the opposite of < prime > ?,the antonym for prime is inferior,the opposite of prime is inanimate,the antonym for prime is twin
what can one confuse with < caller > ?,the homonym for caller is calendar,the homonym for caller is awakener,the homonym for caller is calmer
What is unlike < hedge > ?,the antonym for hedge is tree,the antonym for hedge is meadow,the antonym for hedge is wall
what has a < swayed > like ring to it ?,the homonym for swayed is stayed,a word with a swayed like ring to it is: [ swag ],the homonym for swayed is swede
give me something i would hear as < manner > ?,the homonym for manner is manor,a sentence with manner is: the [ manner ] in which you do things is important,the homonym for manner is manor
give me something i would hear as < dyed > ?,the homonym for dyed is dye,"a sentence with a word that would be heard as ""died"" is: she [ died ] when she heard that her brother had been killed in a car accident",the homonym for dyed is lead
What is unlike < symbolic > ?,the antonym for symbolic is straightforward,the antonym for symbolic is obscure,the antonym for symbolic is literal
What is similar to < clam > ?,the synonym for clam is fish,the homonym for clam is calm,the synonym for clam is crab
make something with < grass > ?,a sentence with grass is: a bear on grass near small trees,something with grass is a lawn,a sentence with grass is: a [ grass ] field
< ounce > means what ?,the definition of ounce is the twelfth part of a troy pound.,the meaning of ounce is a unit of weight equal to 1/16 of a pound.,the definition of ounce is a unit of weight equal to 1/16 of a pound or 28.3495 grams
what can one confuse with < alter > ?,the homonym for alter is tailer,the thing one can confuse with alter is altar,the homonym for alter is altar
give me something that contains < crop > in it ?,a sentence with crop is: a tractor and trailed sprayer spraying a young wheat crop in spring,something that contains crop in it is: a [ crop ] of blackberries,a sentence with crop is: the [ crop ] is ripe
expand on < chaperon > ?,the definition of chaperon is a matron who accompanies a young lady in public,the expansion of chaperon is one who chaperons.,the definition of chaperon is a woman who goes with a young girl to social functions.
what is a sentence that can be used to define < impress > ?,the definition of impress is the act of impressing or making.,a sentence with impress is: [ impress ] my voice into your mind,the sentence that can be used to define impress is: the [ impress ] of a seal
give me something i would hear as < mown > ?,the homonym for mown is moan,something you would hear as mown is the sound of the grass being cut.,the homonym for mown is shown
expand on < apologetics > ?,the definition of apologetics is that branch of theology which defends the holy scriptures,expanding on apologetics is the art of defending religious beliefs.,a definition for apologetics is a defense of a belief
What is unlike < redirect > ?,the antonym for redirect is mislead,the antonym for redirect is refer,the antonym for redirect is to direct
what is a sentence that can be used to define < boring > ?,the definition of boring is the chips or fragments made by boring.,a sentence with boring is: the [ boring ] story was told by a sleep-tour guide,the definition of boring is something that causes great mental weariness; tedium.
What is similar to < devolve > ?,the synonym for devolve is pass,the synonym for devolve is transfer,the synonym for devolve is relinquish
What is unlike < climatic > ?,the antonym for climatic is expected,the antonym for climatic is nonclimatic,the antonym for climatic is climactic
What is unlike < accustom > ?,the antonym for accustom is ignore,the synonym for accustom is alien,the antonym for accustom is unfamiliar
What is like < recreation > ?,the synonym for recreation is play,the antonym for recreation is work,the synonym for recreation is diversion
What is similar to < ink > ?,the synonym for ink is print,the synonym for ink is stylus,the synonym for ink is black
What is akin to < elephant > ?,the synonym for elephant is pachyderm,the word akin to elephant is elephantine,the synonym for elephant is huge
